id,gup1,gup2,gup3,gup4,gup5,gup6,gup7,gup8,gup9,gup10,gup11,gup12,gup13,gup14,gup15,gup16,gup17,gup18,gup19,gup20,gup21
30,"[[17,50050,1]]","[[17,50050,1]]","[[17,50050,2]]","[[17,50050,2]]","[[17,50050,2],[14,712003,1]]","[[17,50050,3],[14,712003,2]]","[[17,50050,3],[14,712004,1]]","[[17,50050,3],[14,712004,2]]","[[17,50050,3],[14,712004,3]]","[[17,50050,4],[14,712004,6]]","[[17,50050,4],[14,712005,1]]","[[17,50050,4],[14,712005,2]]","[[17,50050,4],[14,712005,3]]","[[17,50050,4],[14,712005,6]]","[[17,50050,5],[14,712005,10]]","[[17,50050,5],[14,712006,2]]","[[17,50050,5],[14,712006,3]]","[[17,50050,5],[14,712006,6]]","[[17,50050,5],[14,712006,10]]","[[17,50050,5],[14,712007,3]]","[[17,50050,5],[14,712007,6]]"
31,"[[17,50051,1]]","[[17,50051,1]]","[[17,50051,2]]","[[17,50051,2]]","[[17,50051,2],[14,712003,1]]","[[17,50051,3],[14,712003,2]]","[[17,50051,3],[14,712004,1]]","[[17,50051,3],[14,712004,2]]","[[17,50051,3],[14,712004,3]]","[[17,50051,4],[14,712004,6]]","[[17,50051,4],[14,712005,1]]","[[17,50051,4],[14,712005,2]]","[[17,50051,4],[14,712005,3]]","[[17,50051,4],[14,712005,6]]","[[17,50051,5],[14,712005,10]]","[[17,50051,5],[14,712006,2]]","[[17,50051,5],[14,712006,3]]","[[17,50051,5],[14,712006,6]]","[[17,50051,5],[14,712006,10]]","[[17,50051,5],[14,712007,3]]","[[17,50051,5],[14,712007,6]]"
32,"[[17,50052,1]]","[[17,50052,1]]","[[17,50052,2]]","[[17,50052,2]]","[[17,50052,2],[14,712003,1]]","[[17,50052,3],[14,712003,2]]","[[17,50052,3],[14,712004,1]]","[[17,50052,3],[14,712004,2]]","[[17,50052,3],[14,712004,3]]","[[17,50052,4],[14,712004,6]]","[[17,50052,4],[14,712005,1]]","[[17,50052,4],[14,712005,2]]","[[17,50052,4],[14,712005,3]]","[[17,50052,4],[14,712005,6]]","[[17,50052,5],[14,712005,10]]","[[17,50052,5],[14,712006,2]]","[[17,50052,5],[14,712006,3]]","[[17,50052,5],[14,712006,6]]","[[17,50052,5],[14,712006,10]]","[[17,50052,5],[14,712007,3]]","[[17,50052,5],[14,712007,6]]"
33,"[[17,50053,1]]","[[17,50053,1]]","[[17,50053,2]]","[[17,50053,2]]","[[17,50053,2],[14,712003,1]]","[[17,50053,3],[14,712003,2]]","[[17,50053,3],[14,712004,1]]","[[17,50053,3],[14,712004,2]]","[[17,50053,3],[14,712004,3]]","[[17,50053,4],[14,712004,6]]","[[17,50053,4],[14,712005,1]]","[[17,50053,4],[14,712005,2]]","[[17,50053,4],[14,712005,3]]","[[17,50053,4],[14,712005,6]]","[[17,50053,5],[14,712005,10]]","[[17,50053,5],[14,712006,2]]","[[17,50053,5],[14,712006,3]]","[[17,50053,5],[14,712006,6]]","[[17,50053,5],[14,712006,10]]","[[17,50053,5],[14,712007,3]]","[[17,50053,5],[14,712007,6]]"
34,"[[17,50054,1]]","[[17,50054,1]]","[[17,50054,2]]","[[17,50054,2]]","[[17,50054,2],[14,712003,1]]","[[17,50054,3],[14,712003,2]]","[[17,50054,3],[14,712004,1]]","[[17,50054,3],[14,712004,2]]","[[17,50054,3],[14,712004,3]]","[[17,50054,4],[14,712004,6]]","[[17,50054,4],[14,712005,1]]","[[17,50054,4],[14,712005,2]]","[[17,50054,4],[14,712005,3]]","[[17,50054,4],[14,712005,6]]","[[17,50054,5],[14,712005,10]]","[[17,50054,5],[14,712006,2]]","[[17,50054,5],[14,712006,3]]","[[17,50054,5],[14,712006,6]]","[[17,50054,5],[14,712006,10]]","[[17,50054,5],[14,712007,3]]","[[17,50054,5],[14,712007,6]]"
35,"[[17,50055,1]]","[[17,50055,1]]","[[17,50055,2]]","[[17,50055,2]]","[[17,50055,2],[14,712003,1]]","[[17,50055,3],[14,712003,2]]","[[17,50055,3],[14,712004,1]]","[[17,50055,3],[14,712004,2]]","[[17,50055,3],[14,712004,3]]","[[17,50055,4],[14,712004,6]]","[[17,50055,4],[14,712005,1]]","[[17,50055,4],[14,712005,2]]","[[17,50055,4],[14,712005,3]]","[[17,50055,4],[14,712005,6]]","[[17,50055,5],[14,712005,10]]","[[17,50055,5],[14,712006,2]]","[[17,50055,5],[14,712006,3]]","[[17,50055,5],[14,712006,6]]","[[17,50055,5],[14,712006,10]]","[[17,50055,5],[14,712007,3]]","[[17,50055,5],[14,712007,6]]"
36,"[[17,50056,1]]","[[17,50056,1]]","[[17,50056,2]]","[[17,50056,2]]","[[17,50056,2],[14,712003,1]]","[[17,50056,3],[14,712003,2]]","[[17,50056,3],[14,712004,1]]","[[17,50056,3],[14,712004,2]]","[[17,50056,3],[14,712004,3]]","[[17,50056,4],[14,712004,6]]","[[17,50056,4],[14,712005,1]]","[[17,50056,4],[14,712005,2]]","[[17,50056,4],[14,712005,3]]","[[17,50056,4],[14,712005,6]]","[[17,50056,5],[14,712005,10]]","[[17,50056,5],[14,712006,2]]","[[17,50056,5],[14,712006,3]]","[[17,50056,5],[14,712006,6]]","[[17,50056,5],[14,712006,10]]","[[17,50056,5],[14,712007,3]]","[[17,50056,5],[14,712007,6]]"
37,"[[17,50057,1]]","[[17,50057,1]]","[[17,50057,2]]","[[17,50057,2]]","[[17,50057,2],[14,712003,1]]","[[17,50057,3],[14,712003,2]]","[[17,50057,3],[14,712004,1]]","[[17,50057,3],[14,712004,2]]","[[17,50057,3],[14,712004,3]]","[[17,50057,4],[14,712004,6]]","[[17,50057,4],[14,712005,1]]","[[17,50057,4],[14,712005,2]]","[[17,50057,4],[14,712005,3]]","[[17,50057,4],[14,712005,6]]","[[17,50057,5],[14,712005,10]]","[[17,50057,5],[14,712006,2]]","[[17,50057,5],[14,712006,3]]","[[17,50057,5],[14,712006,6]]","[[17,50057,5],[14,712006,10]]","[[17,50057,5],[14,712007,3]]","[[17,50057,5],[14,712007,6]]"
38,"[[17,50058,1]]","[[17,50058,1]]","[[17,50058,2]]","[[17,50058,2]]","[[17,50058,2],[14,712003,1]]","[[17,50058,3],[14,712003,2]]","[[17,50058,3],[14,712004,1]]","[[17,50058,3],[14,712004,2]]","[[17,50058,3],[14,712004,3]]","[[17,50058,4],[14,712004,6]]","[[17,50058,4],[14,712005,1]]","[[17,50058,4],[14,712005,2]]","[[17,50058,4],[14,712005,3]]","[[17,50058,4],[14,712005,6]]","[[17,50058,5],[14,712005,10]]","[[17,50058,5],[14,712006,2]]","[[17,50058,5],[14,712006,3]]","[[17,50058,5],[14,712006,6]]","[[17,50058,5],[14,712006,10]]","[[17,50058,5],[14,712007,3]]","[[17,50058,5],[14,712007,6]]"
39,"[[17,50059,1]]","[[17,50059,1]]","[[17,50059,2]]","[[17,50059,2]]","[[17,50059,2],[14,712003,1]]","[[17,50059,3],[14,712003,2]]","[[17,50059,3],[14,712004,1]]","[[17,50059,3],[14,712004,2]]","[[17,50059,3],[14,712004,3]]","[[17,50059,4],[14,712004,6]]","[[17,50059,4],[14,712005,1]]","[[17,50059,4],[14,712005,2]]","[[17,50059,4],[14,712005,3]]","[[17,50059,4],[14,712005,6]]","[[17,50059,5],[14,712005,10]]","[[17,50059,5],[14,712006,2]]","[[17,50059,5],[14,712006,3]]","[[17,50059,5],[14,712006,6]]","[[17,50059,5],[14,712006,10]]","[[17,50059,5],[14,712007,3]]","[[17,50059,5],[14,712007,6]]"
40,"[[17,50060,1]]","[[17,50060,1]]","[[17,50060,2]]","[[17,50060,2]]","[[17,50060,2],[14,712003,1]]","[[17,50060,3],[14,712003,2]]","[[17,50060,3],[14,712004,1]]","[[17,50060,3],[14,712004,2]]","[[17,50060,3],[14,712004,3]]","[[17,50060,4],[14,712004,6]]","[[17,50060,4],[14,712005,1]]","[[17,50060,4],[14,712005,2]]","[[17,50060,4],[14,712005,3]]","[[17,50060,4],[14,712005,6]]","[[17,50060,5],[14,712005,10]]","[[17,50060,5],[14,712006,2]]","[[17,50060,5],[14,712006,3]]","[[17,50060,5],[14,712006,6]]","[[17,50060,5],[14,712006,10]]","[[17,50060,5],[14,712007,3]]","[[17,50060,5],[14,712007,6]]"
41,"[[17,50061,1]]","[[17,50061,1]]","[[17,50061,2]]","[[17,50061,2]]","[[17,50061,2],[14,712003,1]]","[[17,50061,3],[14,712003,2]]","[[17,50061,3],[14,712004,1]]","[[17,50061,3],[14,712004,2]]","[[17,50061,3],[14,712004,3]]","[[17,50061,4],[14,712004,6]]","[[17,50061,4],[14,712005,1]]","[[17,50061,4],[14,712005,2]]","[[17,50061,4],[14,712005,3]]","[[17,50061,4],[14,712005,6]]","[[17,50061,5],[14,712005,10]]","[[17,50061,5],[14,712006,2]]","[[17,50061,5],[14,712006,3]]","[[17,50061,5],[14,712006,6]]","[[17,50061,5],[14,712006,10]]","[[17,50061,5],[14,712007,3]]","[[17,50061,5],[14,712007,6]]"
42,"[[17,50062,1]]","[[17,50062,1]]","[[17,50062,2]]","[[17,50062,2]]","[[17,50062,2],[14,712003,1]]","[[17,50062,3],[14,712003,2]]","[[17,50062,3],[14,712004,1]]","[[17,50062,3],[14,712004,2]]","[[17,50062,3],[14,712004,3]]","[[17,50062,4],[14,712004,6]]","[[17,50062,4],[14,712005,1]]","[[17,50062,4],[14,712005,2]]","[[17,50062,4],[14,712005,3]]","[[17,50062,4],[14,712005,6]]","[[17,50062,5],[14,712005,10]]","[[17,50062,5],[14,712006,2]]","[[17,50062,5],[14,712006,3]]","[[17,50062,5],[14,712006,6]]","[[17,50062,5],[14,712006,10]]","[[17,50062,5],[14,712007,3]]","[[17,50062,5],[14,712007,6]]"
43,"[[17,50063,1]]","[[17,50063,1]]","[[17,50063,2]]","[[17,50063,2]]","[[17,50063,2],[14,712003,1]]","[[17,50063,3],[14,712003,2]]","[[17,50063,3],[14,712004,1]]","[[17,50063,3],[14,712004,2]]","[[17,50063,3],[14,712004,3]]","[[17,50063,4],[14,712004,6]]","[[17,50063,4],[14,712005,1]]","[[17,50063,4],[14,712005,2]]","[[17,50063,4],[14,712005,3]]","[[17,50063,4],[14,712005,6]]","[[17,50063,5],[14,712005,10]]","[[17,50063,5],[14,712006,2]]","[[17,50063,5],[14,712006,3]]","[[17,50063,5],[14,712006,6]]","[[17,50063,5],[14,712006,10]]","[[17,50063,5],[14,712007,3]]","[[17,50063,5],[14,712007,6]]"
44,"[[17,50064,1]]","[[17,50064,1]]","[[17,50064,2]]","[[17,50064,2]]","[[17,50064,2],[14,712003,1]]","[[17,50064,3],[14,712003,2]]","[[17,50064,3],[14,712004,1]]","[[17,50064,3],[14,712004,2]]","[[17,50064,3],[14,712004,3]]","[[17,50064,4],[14,712004,6]]","[[17,50064,4],[14,712005,1]]","[[17,50064,4],[14,712005,2]]","[[17,50064,4],[14,712005,3]]","[[17,50064,4],[14,712005,6]]","[[17,50064,5],[14,712005,10]]","[[17,50064,5],[14,712006,2]]","[[17,50064,5],[14,712006,3]]","[[17,50064,5],[14,712006,6]]","[[17,50064,5],[14,712006,10]]","[[17,50064,5],[14,712007,3]]","[[17,50064,5],[14,712007,6]]"
45,"[[17,50065,1]]","[[17,50065,1]]","[[17,50065,2]]","[[17,50065,2]]","[[17,50065,2],[14,712003,1]]","[[17,50065,3],[14,712003,2]]","[[17,50065,3],[14,712004,1]]","[[17,50065,3],[14,712004,2]]","[[17,50065,3],[14,712004,3]]","[[17,50065,4],[14,712004,6]]","[[17,50065,4],[14,712005,1]]","[[17,50065,4],[14,712005,2]]","[[17,50065,4],[14,712005,3]]","[[17,50065,4],[14,712005,6]]","[[17,50065,5],[14,712005,10]]","[[17,50065,5],[14,712006,2]]","[[17,50065,5],[14,712006,3]]","[[17,50065,5],[14,712006,6]]","[[17,50065,5],[14,712006,10]]","[[17,50065,5],[14,712007,3]]","[[17,50065,5],[14,712007,6]]"
46,"[[17,50066,1]]","[[17,50066,1]]","[[17,50066,2]]","[[17,50066,2]]","[[17,50066,2],[14,712003,1]]","[[17,50066,3],[14,712003,2]]","[[17,50066,3],[14,712004,1]]","[[17,50066,3],[14,712004,2]]","[[17,50066,3],[14,712004,3]]","[[17,50066,4],[14,712004,6]]","[[17,50066,4],[14,712005,1]]","[[17,50066,4],[14,712005,2]]","[[17,50066,4],[14,712005,3]]","[[17,50066,4],[14,712005,6]]","[[17,50066,5],[14,712005,10]]","[[17,50066,5],[14,712006,2]]","[[17,50066,5],[14,712006,3]]","[[17,50066,5],[14,712006,6]]","[[17,50066,5],[14,712006,10]]","[[17,50066,5],[14,712007,3]]","[[17,50066,5],[14,712007,6]]"
47,"[[17,50067,1]]","[[17,50067,1]]","[[17,50067,2]]","[[17,50067,2]]","[[17,50067,2],[14,712003,1]]","[[17,50067,3],[14,712003,2]]","[[17,50067,3],[14,712004,1]]","[[17,50067,3],[14,712004,2]]","[[17,50067,3],[14,712004,3]]","[[17,50067,4],[14,712004,6]]","[[17,50067,4],[14,712005,1]]","[[17,50067,4],[14,712005,2]]","[[17,50067,4],[14,712005,3]]","[[17,50067,4],[14,712005,6]]","[[17,50067,5],[14,712005,10]]","[[17,50067,5],[14,712006,2]]","[[17,50067,5],[14,712006,3]]","[[17,50067,5],[14,712006,6]]","[[17,50067,5],[14,712006,10]]","[[17,50067,5],[14,712007,3]]","[[17,50067,5],[14,712007,6]]"
48,"[[17,50068,1]]","[[17,50068,1]]","[[17,50068,2]]","[[17,50068,2]]","[[17,50068,2],[14,712003,1]]","[[17,50068,3],[14,712003,2]]","[[17,50068,3],[14,712004,1]]","[[17,50068,3],[14,712004,2]]","[[17,50068,3],[14,712004,3]]","[[17,50068,4],[14,712004,6]]","[[17,50068,4],[14,712005,1]]","[[17,50068,4],[14,712005,2]]","[[17,50068,4],[14,712005,3]]","[[17,50068,4],[14,712005,6]]","[[17,50068,5],[14,712005,10]]","[[17,50068,5],[14,712006,2]]","[[17,50068,5],[14,712006,3]]","[[17,50068,5],[14,712006,6]]","[[17,50068,5],[14,712006,10]]","[[17,50068,5],[14,712007,3]]","[[17,50068,5],[14,712007,6]]"
49,"[[17,50069,1]]","[[17,50069,1]]","[[17,50069,2]]","[[17,50069,2]]","[[17,50069,2],[14,712003,1]]","[[17,50069,3],[14,712003,2]]","[[17,50069,3],[14,712004,1]]","[[17,50069,3],[14,712004,2]]","[[17,50069,3],[14,712004,3]]","[[17,50069,4],[14,712004,6]]","[[17,50069,4],[14,712005,1]]","[[17,50069,4],[14,712005,2]]","[[17,50069,4],[14,712005,3]]","[[17,50069,4],[14,712005,6]]","[[17,50069,5],[14,712005,10]]","[[17,50069,5],[14,712006,2]]","[[17,50069,5],[14,712006,3]]","[[17,50069,5],[14,712006,6]]","[[17,50069,5],[14,712006,10]]","[[17,50069,5],[14,712007,3]]","[[17,50069,5],[14,712007,6]]"
50,"[[17,50070,1]]","[[17,50070,1]]","[[17,50070,2]]","[[17,50070,2]]","[[17,50070,2],[14,712003,1]]","[[17,50070,3],[14,712003,2]]","[[17,50070,3],[14,712004,1]]","[[17,50070,3],[14,712004,2]]","[[17,50070,3],[14,712004,3]]","[[17,50070,4],[14,712004,6]]","[[17,50070,4],[14,712005,1]]","[[17,50070,4],[14,712005,2]]","[[17,50070,4],[14,712005,3]]","[[17,50070,4],[14,712005,6]]","[[17,50070,5],[14,712005,10]]","[[17,50070,5],[14,712006,2]]","[[17,50070,5],[14,712006,3]]","[[17,50070,5],[14,712006,6]]","[[17,50070,5],[14,712006,10]]","[[17,50070,5],[14,712007,3]]","[[17,50070,5],[14,712007,6]]"
51,"[[17,50071,1]]","[[17,50071,1]]","[[17,50071,2]]","[[17,50071,2]]","[[17,50071,2],[14,712003,1]]","[[17,50071,3],[14,712003,2]]","[[17,50071,3],[14,712004,1]]","[[17,50071,3],[14,712004,2]]","[[17,50071,3],[14,712004,3]]","[[17,50071,4],[14,712004,6]]","[[17,50071,4],[14,712005,1]]","[[17,50071,4],[14,712005,2]]","[[17,50071,4],[14,712005,3]]","[[17,50071,4],[14,712005,6]]","[[17,50071,5],[14,712005,10]]","[[17,50071,5],[14,712006,2]]","[[17,50071,5],[14,712006,3]]","[[17,50071,5],[14,712006,6]]","[[17,50071,5],[14,712006,10]]","[[17,50071,5],[14,712007,3]]","[[17,50071,5],[14,712007,6]]"
52,"[[17,50072,1]]","[[17,50072,1]]","[[17,50072,2]]","[[17,50072,2]]","[[17,50072,2],[14,712003,1]]","[[17,50072,3],[14,712003,2]]","[[17,50072,3],[14,712004,1]]","[[17,50072,3],[14,712004,2]]","[[17,50072,3],[14,712004,3]]","[[17,50072,4],[14,712004,6]]","[[17,50072,4],[14,712005,1]]","[[17,50072,4],[14,712005,2]]","[[17,50072,4],[14,712005,3]]","[[17,50072,4],[14,712005,6]]","[[17,50072,5],[14,712005,10]]","[[17,50072,5],[14,712006,2]]","[[17,50072,5],[14,712006,3]]","[[17,50072,5],[14,712006,6]]","[[17,50072,5],[14,712006,10]]","[[17,50072,5],[14,712007,3]]","[[17,50072,5],[14,712007,6]]"
53,"[[17,50073,1]]","[[17,50073,1]]","[[17,50073,2]]","[[17,50073,2]]","[[17,50073,2],[14,712003,1]]","[[17,50073,3],[14,712003,2]]","[[17,50073,3],[14,712004,1]]","[[17,50073,3],[14,712004,2]]","[[17,50073,3],[14,712004,3]]","[[17,50073,4],[14,712004,6]]","[[17,50073,4],[14,712005,1]]","[[17,50073,4],[14,712005,2]]","[[17,50073,4],[14,712005,3]]","[[17,50073,4],[14,712005,6]]","[[17,50073,5],[14,712005,10]]","[[17,50073,5],[14,712006,2]]","[[17,50073,5],[14,712006,3]]","[[17,50073,5],[14,712006,6]]","[[17,50073,5],[14,712006,10]]","[[17,50073,5],[14,712007,3]]","[[17,50073,5],[14,712007,6]]"
54,"[[17,50074,1]]","[[17,50074,1]]","[[17,50074,2]]","[[17,50074,2]]","[[17,50074,2],[14,712003,1]]","[[17,50074,3],[14,712003,2]]","[[17,50074,3],[14,712004,1]]","[[17,50074,3],[14,712004,2]]","[[17,50074,3],[14,712004,3]]","[[17,50074,4],[14,712004,6]]","[[17,50074,4],[14,712005,1]]","[[17,50074,4],[14,712005,2]]","[[17,50074,4],[14,712005,3]]","[[17,50074,4],[14,712005,6]]","[[17,50074,5],[14,712005,10]]","[[17,50074,5],[14,712006,2]]","[[17,50074,5],[14,712006,3]]","[[17,50074,5],[14,712006,6]]","[[17,50074,5],[14,712006,10]]","[[17,50074,5],[14,712007,3]]","[[17,50074,5],[14,712007,6]]"
55,"[[17,50075,1]]","[[17,50075,1]]","[[17,50075,2]]","[[17,50075,2]]","[[17,50075,2],[14,712003,1]]","[[17,50075,3],[14,712003,2]]","[[17,50075,3],[14,712004,1]]","[[17,50075,3],[14,712004,2]]","[[17,50075,3],[14,712004,3]]","[[17,50075,4],[14,712004,6]]","[[17,50075,4],[14,712005,1]]","[[17,50075,4],[14,712005,2]]","[[17,50075,4],[14,712005,3]]","[[17,50075,4],[14,712005,6]]","[[17,50075,5],[14,712005,10]]","[[17,50075,5],[14,712006,2]]","[[17,50075,5],[14,712006,3]]","[[17,50075,5],[14,712006,6]]","[[17,50075,5],[14,712006,10]]","[[17,50075,5],[14,712007,3]]","[[17,50075,5],[14,712007,6]]"
56,"[[17,50076,1]]","[[17,50076,1]]","[[17,50076,2]]","[[17,50076,2]]","[[17,50076,2],[14,712003,1]]","[[17,50076,3],[14,712003,2]]","[[17,50076,3],[14,712004,1]]","[[17,50076,3],[14,712004,2]]","[[17,50076,3],[14,712004,3]]","[[17,50076,4],[14,712004,6]]","[[17,50076,4],[14,712005,1]]","[[17,50076,4],[14,712005,2]]","[[17,50076,4],[14,712005,3]]","[[17,50076,4],[14,712005,6]]","[[17,50076,5],[14,712005,10]]","[[17,50076,5],[14,712006,2]]","[[17,50076,5],[14,712006,3]]","[[17,50076,5],[14,712006,6]]","[[17,50076,5],[14,712006,10]]","[[17,50076,5],[14,712007,3]]","[[17,50076,5],[14,712007,6]]"
57,"[[17,50077,1]]","[[17,50077,1]]","[[17,50077,2]]","[[17,50077,2]]","[[17,50077,2],[14,712003,1]]","[[17,50077,3],[14,712003,2]]","[[17,50077,3],[14,712004,1]]","[[17,50077,3],[14,712004,2]]","[[17,50077,3],[14,712004,3]]","[[17,50077,4],[14,712004,6]]","[[17,50077,4],[14,712005,1]]","[[17,50077,4],[14,712005,2]]","[[17,50077,4],[14,712005,3]]","[[17,50077,4],[14,712005,6]]","[[17,50077,5],[14,712005,10]]","[[17,50077,5],[14,712006,2]]","[[17,50077,5],[14,712006,3]]","[[17,50077,5],[14,712006,6]]","[[17,50077,5],[14,712006,10]]","[[17,50077,5],[14,712007,3]]","[[17,50077,5],[14,712007,6]]"
58,"[[17,50078,1]]","[[17,50078,1]]","[[17,50078,2]]","[[17,50078,2]]","[[17,50078,2],[14,712003,1]]","[[17,50078,3],[14,712003,2]]","[[17,50078,3],[14,712004,1]]","[[17,50078,3],[14,712004,2]]","[[17,50078,3],[14,712004,3]]","[[17,50078,4],[14,712004,6]]","[[17,50078,4],[14,712005,1]]","[[17,50078,4],[14,712005,2]]","[[17,50078,4],[14,712005,3]]","[[17,50078,4],[14,712005,6]]","[[17,50078,5],[14,712005,10]]","[[17,50078,5],[14,712006,2]]","[[17,50078,5],[14,712006,3]]","[[17,50078,5],[14,712006,6]]","[[17,50078,5],[14,712006,10]]","[[17,50078,5],[14,712007,3]]","[[17,50078,5],[14,712007,6]]"
59,"[[17,50079,1]]","[[17,50079,1]]","[[17,50079,2]]","[[17,50079,2]]","[[17,50079,2],[14,712003,1]]","[[17,50079,3],[14,712003,2]]","[[17,50079,3],[14,712004,1]]","[[17,50079,3],[14,712004,2]]","[[17,50079,3],[14,712004,3]]","[[17,50079,4],[14,712004,6]]","[[17,50079,4],[14,712005,1]]","[[17,50079,4],[14,712005,2]]","[[17,50079,4],[14,712005,3]]","[[17,50079,4],[14,712005,6]]","[[17,50079,5],[14,712005,10]]","[[17,50079,5],[14,712006,2]]","[[17,50079,5],[14,712006,3]]","[[17,50079,5],[14,712006,6]]","[[17,50079,5],[14,712006,10]]","[[17,50079,5],[14,712007,3]]","[[17,50079,5],[14,712007,6]]"
60,"[[17,50080,1]]","[[17,50080,1]]","[[17,50080,2]]","[[17,50080,2]]","[[17,50080,2],[14,712003,1]]","[[17,50080,3],[14,712003,2]]","[[17,50080,3],[14,712004,1]]","[[17,50080,3],[14,712004,2]]","[[17,50080,3],[14,712004,3]]","[[17,50080,4],[14,712004,6]]","[[17,50080,4],[14,712005,1]]","[[17,50080,4],[14,712005,2]]","[[17,50080,4],[14,712005,3]]","[[17,50080,4],[14,712005,6]]","[[17,50080,5],[14,712005,10]]","[[17,50080,5],[14,712006,2]]","[[17,50080,5],[14,712006,3]]","[[17,50080,5],[14,712006,6]]","[[17,50080,5],[14,712006,10]]","[[17,50080,5],[14,712007,3]]","[[17,50080,5],[14,712007,6]]"
61,"[[17,50081,1]]","[[17,50081,1]]","[[17,50081,2]]","[[17,50081,2]]","[[17,50081,2],[14,712003,1]]","[[17,50081,3],[14,712003,2]]","[[17,50081,3],[14,712004,1]]","[[17,50081,3],[14,712004,2]]","[[17,50081,3],[14,712004,3]]","[[17,50081,4],[14,712004,6]]","[[17,50081,4],[14,712005,1]]","[[17,50081,4],[14,712005,2]]","[[17,50081,4],[14,712005,3]]","[[17,50081,4],[14,712005,6]]","[[17,50081,5],[14,712005,10]]","[[17,50081,5],[14,712006,2]]","[[17,50081,5],[14,712006,3]]","[[17,50081,5],[14,712006,6]]","[[17,50081,5],[14,712006,10]]","[[17,50081,5],[14,712007,3]]","[[17,50081,5],[14,712007,6]]"
62,"[[17,50082,1]]","[[17,50082,1]]","[[17,50082,2]]","[[17,50082,2]]","[[17,50082,2],[14,712003,1]]","[[17,50082,3],[14,712003,2]]","[[17,50082,3],[14,712004,1]]","[[17,50082,3],[14,712004,2]]","[[17,50082,3],[14,712004,3]]","[[17,50082,4],[14,712004,6]]","[[17,50082,4],[14,712005,1]]","[[17,50082,4],[14,712005,2]]","[[17,50082,4],[14,712005,3]]","[[17,50082,4],[14,712005,6]]","[[17,50082,5],[14,712005,10]]","[[17,50082,5],[14,712006,2]]","[[17,50082,5],[14,712006,3]]","[[17,50082,5],[14,712006,6]]","[[17,50082,5],[14,712006,10]]","[[17,50082,5],[14,712007,3]]","[[17,50082,5],[14,712007,6]]"
63,"[[17,50083,1]]","[[17,50083,1]]","[[17,50083,2]]","[[17,50083,2]]","[[17,50083,2],[14,712003,1]]","[[17,50083,3],[14,712003,2]]","[[17,50083,3],[14,712004,1]]","[[17,50083,3],[14,712004,2]]","[[17,50083,3],[14,712004,3]]","[[17,50083,4],[14,712004,6]]","[[17,50083,4],[14,712005,1]]","[[17,50083,4],[14,712005,2]]","[[17,50083,4],[14,712005,3]]","[[17,50083,4],[14,712005,6]]","[[17,50083,5],[14,712005,10]]","[[17,50083,5],[14,712006,2]]","[[17,50083,5],[14,712006,3]]","[[17,50083,5],[14,712006,6]]","[[17,50083,5],[14,712006,10]]","[[17,50083,5],[14,712007,3]]","[[17,50083,5],[14,712007,6]]"
64,"[[17,50084,1]]","[[17,50084,1]]","[[17,50084,2]]","[[17,50084,2]]","[[17,50084,2],[14,712003,1]]","[[17,50084,3],[14,712003,2]]","[[17,50084,3],[14,712004,1]]","[[17,50084,3],[14,712004,2]]","[[17,50084,3],[14,712004,3]]","[[17,50084,4],[14,712004,6]]","[[17,50084,4],[14,712005,1]]","[[17,50084,4],[14,712005,2]]","[[17,50084,4],[14,712005,3]]","[[17,50084,4],[14,712005,6]]","[[17,50084,5],[14,712005,10]]","[[17,50084,5],[14,712006,2]]","[[17,50084,5],[14,712006,3]]","[[17,50084,5],[14,712006,6]]","[[17,50084,5],[14,712006,10]]","[[17,50084,5],[14,712007,3]]","[[17,50084,5],[14,712007,6]]"
65,"[[17,50085,1]]","[[17,50085,1]]","[[17,50085,2]]","[[17,50085,2]]","[[17,50085,2],[14,712003,1]]","[[17,50085,3],[14,712003,2]]","[[17,50085,3],[14,712004,1]]","[[17,50085,3],[14,712004,2]]","[[17,50085,3],[14,712004,3]]","[[17,50085,4],[14,712004,6]]","[[17,50085,4],[14,712005,1]]","[[17,50085,4],[14,712005,2]]","[[17,50085,4],[14,712005,3]]","[[17,50085,4],[14,712005,6]]","[[17,50085,5],[14,712005,10]]","[[17,50085,5],[14,712006,2]]","[[17,50085,5],[14,712006,3]]","[[17,50085,5],[14,712006,6]]","[[17,50085,5],[14,712006,10]]","[[17,50085,5],[14,712007,3]]","[[17,50085,5],[14,712007,6]]"
66,"[[17,50086,1]]","[[17,50086,1]]","[[17,50086,2]]","[[17,50086,2]]","[[17,50086,2],[14,712003,1]]","[[17,50086,3],[14,712003,2]]","[[17,50086,3],[14,712004,1]]","[[17,50086,3],[14,712004,2]]","[[17,50086,3],[14,712004,3]]","[[17,50086,4],[14,712004,6]]","[[17,50086,4],[14,712005,1]]","[[17,50086,4],[14,712005,2]]","[[17,50086,4],[14,712005,3]]","[[17,50086,4],[14,712005,6]]","[[17,50086,5],[14,712005,10]]","[[17,50086,5],[14,712006,2]]","[[17,50086,5],[14,712006,3]]","[[17,50086,5],[14,712006,6]]","[[17,50086,5],[14,712006,10]]","[[17,50086,5],[14,712007,3]]","[[17,50086,5],[14,712007,6]]"
