eid,ename,ekind,ecolor,ATK,AGU,AGV,HP,HGU,HGV,DEF,DGU,DGV,EVA,EGU,EGV,CRI,CGU,CGV,eq,iconid,picid,value,pnum,issuit,isexclusive,desc,attr_id
60005,青牛,6,3,0,0,0,0,0,0,0,0,0,3,0,0.26,0,0,0,49,760005,770005,4360,220,0,0,祖上有一青牛是太上老君的坐骑，因此受许多仙人青睐,30203
60006,七星盘,6,3,0,0,0,0,0,0,0,0,0,3,0,0.26,0,0,0,50,760006,770006,4520,220,4,121,七星贯日，盘旋其中，形成七星飞盘,30203
60007,灵犀,6,3,0,0,0,0,0,0,0,0,0,3,0,0.26,0,0,0,49,760007,770007,4360,220,21,0,角中有白纹如线，贯通两端，感应灵异,30203
60008,赤魇马,6,3,0,0,0,0,0,0,0,0,0,3,0,0.26,0,0,0,49,760008,770008,4360,220,20,0,血色梦魇兽，梦魇兽中万年难得一见的精骑,30203
60009,九黎妖虎,6,3,0,0,0,0,0,0,0,0,0,3,0,0.26,0,0,0,48,760009,770009,4200,220,24,0,远古九黎部落驯养的妖兽，战斗能力极强,30203
60010,五色神牛,6,4,0,0,0,0,0,0,0,0,0,4,0,0.33,0,0,0,92,760010,770010,10000,350,18,122,青牛集五行之力而生，后被帝乙得到赠予黄飞虎,30203
60011,朝天吼,6,4,0,0,0,0,0,0,0,0,0,4,0,0.33,0,0,0,94,760011,770011,10360,350,10,127,金毛僵尸修炼成魔，后被观音菩萨降服,30203
60012,四不像,6,4,0,0,0,0,0,0,0,0,0,4,0,0.33,0,0,0,92,760012,770012,10000,350,22,131,龙头，麒麟身，狮尾，牛蹄，谓之四不像,30203
60013,谛听,6,4,0,0,0,0,0,0,0,0,0,4,0,0.33,0,0,0,93,760013,770013,10200,350,16,123,能辨别世间万物的声音，尤其善听人心，能顾鉴善恶，察听贤愚,30203
60014,大明雀,6,4,0,0,0,0,0,0,0,0,0,4,0,0.33,0,0,0,93,760014,770014,10200,350,7,124,跟大孔雀明王的坐骑同出一源，是佛家极为高贵的坐骑,30203
60015,白泽,6,5,0,0,0,0,0,0,0,0,0,5,0,0.4,0,0,0,151,760015,770015,16720,500,25,125,昆仑山神兽，浑身雪白，能说人话，通万物之情,30203
60016,十二品莲台,6,5,0,0,0,0,0,0,0,0,0,5,0,0.4,0,0,0,152,760016,770016,16960,500,5,126,由混沌青莲不成熟的莲子所化，乃混沌至宝,30203
60017,三足金乌,6,5,0,0,0,0,0,0,0,0,0,5,0,0.4,0,0,0,150,760017,770017,16520,500,9,0,早晨从东方扶桑神树升起，晚上落于西方若木神树，是为金乌,30203
40026,诛天·赑风,4,5,0,0,0,605,14,150,0,0,0,0,0,0,0,0,0,149,740026,0,16120,100,9,0,取三灾利害中最强的风灾炼化而成，可缩地成寸,30203
40027,九泉·破律,4,5,0,0,0,600,14,149,0,0,0,0,0,0,0,0,0,148,740027,0,15920,100,27,0,地狱九泉中取寒泉之水，助水神统御江湖水怪,30203
30026,神罗天祭,3,5,0,0,0,0,0,0,394,5,80,0,0,0,0,0,0,149,730026,0,15920,100,25,130,森罗万象，天祭封神，是以定乾坤,30203
30027,天罡鎏金冕,3,5,0,0,0,0,0,0,400,5,81,0,0,0,0,0,0,150,730027,0,16120,100,26,0,印刻三十六天罡的鎏金冕，真武大帝之物,30203
30028,九泉·鬼方,3,5,0,0,0,0,0,0,405,5.1,82,0,0,0,0,0,0,151,730028,0,16320,100,27,0,鬼方 ，远夷之国也。以国之命数，换得九泉相助,30203
